atomic_number,symbol,name,atomic_mass,element_group,period,category,electron_configuration,description,discovery_history,common_uses,physical_properties,chemical_behavior,interesting_facts
1,H,Hydrogen,1.008,1,1,Nonmetal,1s1,"Hydrogen is the lightest and most abundant element in the universe making up about 75% of all baryonic mass. It is a colorless odorless tasteless non-toxic highly combustible diatomic gas.","Discovered by Henry Cavendish in 1766 though not recognized as a distinct element until 1783. The name comes from Greek hydro (water) and genes (forming) as it forms water when burned in air.","Used extensively in petroleum refining ammonia production for fertilizers methanol synthesis and as rocket fuel. Emerging applications include fuel cells for clean energy and hydrogen-powered vehicles.","Exists as H2 molecules at standard conditions. Has the lowest density of all gases. Three isotopes exist: protium (H-1) deuterium (H-2) and tritium (H-3). Liquid hydrogen is used as a cryogenic coolant.","Highly reactive forms compounds with most elements. Can act as both an oxidizing and reducing agent. Burns with a pale blue nearly invisible flame. Forms explosive mixtures with air (4-75% concentration).","The Sun converts 600 million tons of hydrogen into helium every second through nuclear fusion. Hydrogen bonds are crucial for water's unique properties and DNA structure. Despite being flammable hydrogen itself is non-toxic and humans exhale it naturally."
2,He,Helium,4.003,18,1,Noble gas,1s2,"Helium is the second lightest and second most abundant element in the observable universe. It is a colorless odorless tasteless non-toxic inert monatomic gas that heads the noble gas group.","First detected in 1868 by Jules Janssen during a solar eclipse (hence the name from Greek Helios meaning Sun). Isolated on Earth by William Ramsay in 1895 from uranium ore. First thought to exist only on the Sun.","Primary use in cryogenics (cooling superconducting magnets in MRI scanners and NMR spectrometers). Used in breathing mixtures for deep-sea diving as a protective gas in welding for leak detection and in party balloons.","Second lowest boiling point of all elements (-268.93 degrees C). Only element that cannot be solidified by lowering temperature at normal pressure. Lowest solubility in water of any gas. Less dense than air causing the famous squeaky voice effect.","Completely inert under normal conditions - does not form stable compounds. Has the lowest reactivity of all elements. Can diffuse through many materials that are impermeable to air making it useful for leak detection.","Named after the Sun before being found on Earth. Helium escapes Earth's atmosphere and is lost to space - it's a non-renewable resource on Earth. The second most abundant element in the universe but relatively rare on Earth. Makes your voice high-pitched because sound travels faster through it than air."
6,C,Carbon,12.011,14,2,Nonmetal,1s2 2s2 2p2,"Carbon is a versatile nonmetal that forms the basis of all known life on Earth. It has the unique ability to form long chains and rings creating millions of different compounds. Exists in several allotropes including diamond graphite and fullerenes.","Known since ancient times as charcoal and soot. The name comes from Latin carbo meaning charcoal. Its unique chemistry was gradually understood through the 18th and 19th centuries with its role in organic chemistry recognized by the early 1800s.","Forms the backbone of all organic compounds and living organisms. Used as coal and petroleum for energy. Diamond and graphite in industrial applications. Carbon fiber in aerospace and sports equipment. Carbon black in tires. Activated carbon in filters. Carbon-14 in radioactive dating.","Exists in multiple allotropes with vastly different properties: diamond (hardest natural material transparent) graphite (soft opaque conducts electricity) fullerenes (spherical molecules) graphene (single-layer sheets with extraordinary properties) and carbon nanotubes.","Can form up to four covalent bonds enabling complex molecular structures. Forms stable bonds with many elements including itself (catenation). Can form single double and triple bonds. Central to organic chemistry - the study of carbon compounds. Essential for photosynthesis and cellular respiration.","Carbon dating revolutionized archaeology and geology. Diamond and graphite are both pure carbon but have completely different properties due to atomic arrangement. Every carbon atom in your body was once part of a star. Carbon can form more compounds than all other elements combined. Buckyballs (C60) are perfectly spherical carbon molecules."
7,N,Nitrogen,14.007,15,2,Nonmetal,1s2 2s2 2p3,"Nitrogen is a colorless odorless tasteless diatomic gas that constitutes 78% of Earth's atmosphere. It is relatively inert due to the strong triple bond in N2 molecules but its compounds are essential for all living things.","Discovered by Daniel Rutherford in 1772 while studying noxious air (air without oxygen). The name derives from Greek nitron (native soda) and genes (forming) though it's also called azote in French from Greek meaning without life.","Critical component of ammonia (NH3) for fertilizers feeding billions of people. Used to create an inert atmosphere in food packaging and electronics manufacturing. Liquid nitrogen for cryopreservation and cooling. Nitrogen compounds used in explosives dyes and pharmaceuticals.","Triple bond in N2 is one of the strongest chemical bonds. Liquefies at -196 degrees C. Makes up 78% of Earth's atmosphere. Slightly lighter than air. All nitrogen isotopes except N-14 are radioactive with short half-lives.","The strong nitrogen triple bond makes atmospheric nitrogen very unreactive. Nitrogen fixation (converting N2 to usable compounds) is performed by lightning and specialized bacteria. Forms compounds in multiple oxidation states (-3 to +5). Nitric acid is a strong oxidizing agent.","Nitrogen fixation by bacteria is essential for agriculture - without it crop yields would be a fraction of current levels. The Haber-Bosch process for ammonia synthesis (fixing atmospheric nitrogen) is considered one of the most important inventions of the 20th century enabling modern agriculture to feed billions. All proteins and DNA contain nitrogen."
8,O,Oxygen,15.999,16,2,Nonmetal,1s2 2s2 2p4,"Oxygen is a highly reactive nonmetal and the third most abundant element in the universe. It constitutes 21% of Earth's atmosphere and is essential for aerobic respiration in most living organisms. Exists primarily as diatomic O2 and as ozone O3.","Discovered independently by Carl Wilhelm Scheele (1771) and Joseph Priestley (1774). Antoine Lavoisier named it oxygen from Greek oxys (acid) and genes (forming) mistakenly believing all acids contained oxygen.","Essential for human respiration and combustion. Medical oxygen for respiratory conditions. Industrial applications in steel production chemical synthesis water treatment. Oxygen-enriched air improves combustion efficiency. Liquid oxygen (LOX) used as rocket propellant. Ozone layer protects from UV radiation.","Exists as O2 (dioxygen) which is paramagnetic and pale blue as a liquid/solid. Also forms O3 (ozone) which is a powerful oxidizing agent. Most abundant element in Earth's crust by mass (46%). Liquid oxygen is pale blue and attracted to magnets.","Highly reactive forms compounds with nearly all elements (called oxides). Supports combustion but is not itself flammable. Second only to fluorine in electronegativity. Ozone is a more powerful oxidizer than O2. Oxygen radicals are important in immune response but also cause aging.","Earth's atmosphere had almost no free oxygen until cyanobacteria evolved photosynthesis about 2.4 billion years ago (Great Oxidation Event). Pure oxygen is toxic at high pressures. Oxygen is released as a byproduct of photosynthesis. Your body uses oxygen to burn fuel (food) for energy. Oxygen bars became a brief fad in the 1990s."
11,Na,Sodium,22.990,1,3,Alkali metal,1s2 2s2 2p6 3s1,"Sodium is a soft silvery-white highly reactive alkali metal. It never occurs free in nature due to its high reactivity with water and air. Essential for life playing a crucial role in nerve impulse transmission and fluid balance.","Isolated by Humphry Davy in 1807 through electrolysis of sodium hydroxide. The name comes from Medieval Latin sodanum (headache remedy). Symbol Na comes from Latin natrium (from natron a natural sodium compound).","Table salt (sodium chloride NaCl) is the most common sodium compound essential for human health and food preservation. Used in sodium vapor lamps for street lighting. Sodium compounds used in soap paper production and as a heat transfer fluid in nuclear reactors. Baking soda (sodium bicarbonate) in cooking.","Soft enough to cut with a knife revealing a bright silvery surface that quickly tarnishes. Very low density - floats on water. Melting point only 97.7 degrees C. Must be stored under oil or inert gas to prevent reaction with air. Burns with a bright yellow flame.","Extremely reactive especially with water producing hydrogen gas and heat (potentially explosive). Reacts vigorously with halogens. Forms ionic compounds readily due to easily losing its single valence electron. Strong reducing agent. Tarnishes instantly in air forming sodium oxide.","The bright yellow color of some street lights comes from sodium vapor. Roman soldiers were sometimes paid in salt (origin of word salary). Your body contains about 100g of sodium mostly as dissolved ions. Low-sodium diets are recommended for heart health. Sodium is so reactive it was once used to cool nuclear reactors."
26,Fe,Iron,55.845,8,4,Transition metal,1s2 2s2 2p6 3s2 3p6 3d6 4s2,"Iron is the most common element on Earth by mass making up much of Earth's core. It's a lustrous ductile silver-gray metal that readily corrodes in moist air (rust). Fourth most abundant element in Earth's crust.","Known since prehistoric times (Iron Age began around 1200 BCE). Name from Anglo-Saxon iron and Latin ferrum (symbol Fe). Meteoric iron was used before smelting was developed. Ancient civilizations prized it more than gold due to its utility.","Most widely used metal: construction (steel) vehicles machinery tools. Hemoglobin in blood uses iron to transport oxygen. Steel alloys (iron with carbon and other elements) have countless applications. Cast iron for engine blocks and cookware. Magnetic applications. Iron supplements for anemia.","Ferromagnetic at room temperature - one of only four ferromagnetic elements. Melting point 1538 degrees C. Three allotropes (alpha gamma delta) exist at different temperatures. Pure iron is soft but becomes much harder when alloyed with carbon (steel). Rusts in moist air forming iron oxides.","Forms compounds in +2 and +3 oxidation states. Reacts with dilute acids releasing hydrogen. Rusting is a complex electrochemical process requiring both oxygen and water. Essential for many enzymes and proteins. Can act as both oxidizing and reducing agent.","Earth's core is mostly iron and nickel - accounting for iron being most common element by mass on Earth. Human body contains about 4g of iron mostly in hemoglobin. Iron deficiency is the most common nutritional deficiency worldwide. Ancient meteoric iron was called metal from heaven. Red color of Mars is from iron oxide (rust)."
29,Cu,Copper,63.546,11,4,Transition metal,1s2 2s2 2p6 3s2 3p6 3d10 4s1,"Copper is a soft malleable ductile metal with very high thermal and electrical conductivity. It has a distinctive reddish-orange color and is one of the few metals naturally colored (not silver/gray). Essential trace element for life.","One of the first metals used by humans (Copper Age around 4000 BCE). Name from Latin cuprum (from Cyprus where Romans mined copper). Early bronze (copper-tin alloy) revolutionized human civilization. Native copper occasionally found but mostly extracted from ores.","Excellent electrical conductor - used extensively in electrical wiring and electronics. Plumbing (pipes and fittings though increasingly replaced by plastics). Heat exchangers and radiators. Coinage (though modern copper coins are often copper-plated zinc). Antimicrobial surfaces. Bronze and brass alloys. Architectural roofing (develops green patina).","Excellent electrical conductivity (second only to silver). Outstanding thermal conductivity. Corrosion-resistant - develops protective green patina (verdigris) over time. Melting point 1085 degrees C. Ductile - can be drawn into fine wire. Malleable - easily formed into sheets. Naturally antimicrobial.","Forms compounds primarily in +1 and +2 oxidation states. Copper(II) compounds are typically blue or green. Essential cofactor for many enzymes. Relatively unreactive - doesn't react with non-oxidizing acids. Develops protective oxide layer preventing further corrosion. Catalyzes various organic reactions.","The Statue of Liberty is copper and has its green color from copper carbonate patina. Ancient Egyptians used copper compounds as antiseptics and for eye makeup. Copper has been continuously used for over 10000 years. Copper kills bacteria and viruses on contact - hospitals use copper surfaces to reduce infections. Required for iron absorption in the human body."
47,Ag,Silver,107.868,11,5,Transition metal,1s2 2s2 2p6 3s2 3p6 3d10 4s2 4p6 4d10 5s1,"Silver is a lustrous white metal with the highest electrical and thermal conductivity of all metals. It's soft malleable and ductile. Known for its beauty and resistance to corrosion. Has been valued throughout history for jewelry currency and ornamentation.","Known since ancient times (before 3000 BCE). Name from Anglo-Saxon seolfor and Latin argentum (symbol Ag). Found native and in ores. Historical importance as monetary standard (silver standard). Mined extensively in ancient Greece Rome and the Americas.","Photography (silver halides though declining with digital photography). Jewelry and silverware. Electronics and conductors (highest electrical conductivity). Solar panels. Mirrors and coatings. Medical applications (antimicrobial properties). Silver nanoparticles in consumer products. Electrical contacts and switches. Batteries. Catalysts.","Highest electrical and thermal conductivity of any element. Lustrous white metal takes a brilliant polish. Melts at 962 degrees C. Ductile and malleable - can be beaten into sheets (silver leaf) or drawn into wire. Tarnishes in air containing sulfur compounds forming black silver sulfide. Reflects approximately 95% of visible light.","Primarily forms +1 oxidation state compounds. Relatively unreactive - doesn't react with oxygen or water under normal conditions. Reacts with sulfur and sulfur compounds (causing tarnish). Dissolves in nitric acid. Silver ions have strong antimicrobial properties. Used in photography due to light sensitivity of silver halides.","Cloud seeding uses silver iodide particles to induce rain. Sterling silver is 92.5% silver 7.5% copper for durability. Silver has the lowest contact resistance of any metal. Ancient Persians stored water in silver vessels believing it purified water (true due to antimicrobial properties). Photography consumed 30% of silver in 1990s now less than 10% due to digital photography."
79,Au,Gold,196.967,11,6,Transition metal,1s2 2s2 2p6 3s2 3p6 3d10 4s2 4p6 4d10 4f14 5s2 5p6 5d10 6s1,"Gold is a dense soft shiny yellow precious metal that's highly valued throughout human history. It's the most malleable and ductile metal - one gram can be beaten into a sheet of one square meter or an ounce into 300 square feet. Doesn't tarnish or corrode.","Known since prehistoric times perhaps earliest metal known to humans. Name from Anglo-Saxon gold and Latin aurum (symbol Au meaning shining dawn). Found in native form and easily worked. Caused numerous gold rushes throughout history. Universal symbol of wealth.","Jewelry and ornamentation (50% of consumption). Investment and monetary reserve (central banks hold approximately 20% of all above-ground gold). Electronics (corrosion-resistant conductors). Dentistry (dental crowns and fillings). Space exploration (reflective coatings on spacecraft). Medicine (arthritis treatment). Nanotechnology. Awards and symbols of achievement.","Extremely dense (19.3 grams per cubic centimeter). Brilliant yellow color in pure form. Softest metal in pure form - measured as 2.5 on Mohs scale. Melts at 1064 degrees C. Excellent conductor of electricity and heat. Extremely malleable and ductile. Highly reflective of infrared radiation. Doesn't tarnish or corrode under normal conditions.","Highly unreactive - least reactive metal. Doesn't react with oxygen water or most acids. Dissolves only in aqua regia (mixture of nitric and hydrochloric acids) and in cyanide solutions. Forms compounds primarily in +1 and +3 oxidation states. Catalyzes various chemical reactions. Gold nanoparticles have unique optical properties.","All gold on Earth came from neutron star collisions billions of years ago. Total above-ground gold ever mined would fit in a cube 21 meters on each side. One ounce of gold can be stretched into a wire 50 miles long. Edible gold leaf is used in expensive foods and drinks. Ancient Egyptians considered gold to be the flesh of the gods. Olympic gold medals are only 1% gold (rest is silver)."
